Run	Sample Characteristic[cultivar]	Sample Characteristic Ontology Term[cultivar]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Factor Value[developmental stage]	Factor Value Ontology Term[developmental stage]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Analysed
SRR531218	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.03 three leaves visible stage	http://purl.obolibrary.org/obo/PO_0007106	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	topmost leaf		LP.03 three leaves visible stage	http://purl.obolibrary.org/obo/PO_0007106	topmost leaf		Yes
SRR531219	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.03 three leaves visible stage	http://purl.obolibrary.org/obo/PO_0007106	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	topmost leaf		LP.03 three leaves visible stage	http://purl.obolibrary.org/obo/PO_0007106	topmost leaf		Yes
SRR531220	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.03 three leaves visible stage	http://purl.obolibrary.org/obo/PO_0007106	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	topmost leaf		LP.03 three leaves visible stage	http://purl.obolibrary.org/obo/PO_0007106	topmost leaf		Yes
SRR531221	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.05 five leaves visible stage	http://purl.obolibrary.org/obo/PO_0007065	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	shoot tip	http://purl.obolibrary.org/obo/PO_0000037	LP.05 five leaves visible stage	http://purl.obolibrary.org/obo/PO_0007065	shoot tip	http://purl.obolibrary.org/obo/PO_0000037	Yes
SRR531222	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.05 five leaves visible stage	http://purl.obolibrary.org/obo/PO_0007065	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	shoot tip	http://purl.obolibrary.org/obo/PO_0000037	LP.05 five leaves visible stage	http://purl.obolibrary.org/obo/PO_0007065	shoot tip	http://purl.obolibrary.org/obo/PO_0000037	Yes
SRR531223	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.05 five leaves visible stage	http://purl.obolibrary.org/obo/PO_0007065	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	shoot tip	http://purl.obolibrary.org/obo/PO_0000037	LP.05 five leaves visible stage	http://purl.obolibrary.org/obo/PO_0007065	shoot tip	http://purl.obolibrary.org/obo/PO_0000037	Yes
SRR531224	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.05 five leaves visible stage	http://purl.obolibrary.org/obo/PO_0007065	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	first elongated internode		LP.05 five leaves visible stage	http://purl.obolibrary.org/obo/PO_0007065	first elongated internode		Yes
SRR531225	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.05 five leaves visible stage	http://purl.obolibrary.org/obo/PO_0007065	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	first elongated internode		LP.05 five leaves visible stage	http://purl.obolibrary.org/obo/PO_0007065	first elongated internode		Yes
SRR531226	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.05 five leaves visible stage	http://purl.obolibrary.org/obo/PO_0007065	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	first elongated internode		LP.05 five leaves visible stage	http://purl.obolibrary.org/obo/PO_0007065	first elongated internode		Yes
SRR531866	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.05 five leaves visible stage	http://purl.obolibrary.org/obo/PO_0007065	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	bottom of transition leaf		LP.05 five leaves visible stage	http://purl.obolibrary.org/obo/PO_0007065	bottom of transition leaf		Yes
SRR531867	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.05 five leaves visible stage	http://purl.obolibrary.org/obo/PO_0007065	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	bottom of transition leaf		LP.05 five leaves visible stage	http://purl.obolibrary.org/obo/PO_0007065	bottom of transition leaf		Yes
SRR531868	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.05 five leaves visible stage	http://purl.obolibrary.org/obo/PO_0007065	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	bottom of transition leaf		LP.05 five leaves visible stage	http://purl.obolibrary.org/obo/PO_0007065	bottom of transition leaf		Yes
SRR531869	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.07 seven leaves visible stage	http://purl.obolibrary.org/obo/PO_0007063	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	tip of transition leaf		LP.07 seven leaves visible stage	http://purl.obolibrary.org/obo/PO_0007063	tip of transition leaf		Yes
SRR531870	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.07 seven leaves visible stage	http://purl.obolibrary.org/obo/PO_0007063	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	tip of transition leaf		LP.07 seven leaves visible stage	http://purl.obolibrary.org/obo/PO_0007063	tip of transition leaf		Yes
SRR531871	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.07 seven leaves visible stage	http://purl.obolibrary.org/obo/PO_0007063	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	tip of transition leaf		LP.07 seven leaves visible stage	http://purl.obolibrary.org/obo/PO_0007063	tip of transition leaf		Yes
SRR531872	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.07 seven leaves visible stage	http://purl.obolibrary.org/obo/PO_0007063	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	bottom of transition leaf		LP.07 seven leaves visible stage	http://purl.obolibrary.org/obo/PO_0007063	bottom of transition leaf		Yes
SRR531873	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.07 seven leaves visible stage	http://purl.obolibrary.org/obo/PO_0007063	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	bottom of transition leaf		LP.07 seven leaves visible stage	http://purl.obolibrary.org/obo/PO_0007063	bottom of transition leaf		Yes
SRR531874	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.07 seven leaves visible stage	http://purl.obolibrary.org/obo/PO_0007063	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	bottom of transition leaf		LP.07 seven leaves visible stage	http://purl.obolibrary.org/obo/PO_0007063	bottom of transition leaf		Yes
SRR531875	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	fourth elongated internode		LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	fourth elongated internode		Yes
SRR531876	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	fourth elongated internode		LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	fourth elongated internode		Yes
SRR531877	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	fourth elongated internode		LP.09 nine leaves visible stage	http://purl.obolibrary.org/obo/PO_0007101	fourth elongated internode		Yes
SRR531878	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.13 thirteen leaves visible stage	http://purl.obolibrary.org/obo/PO_0007083	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	immature tassel		LP.13 thirteen leaves visible stage	http://purl.obolibrary.org/obo/PO_0007083	immature tassel		Yes
SRR531879	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.13 thirteen leaves visible stage	http://purl.obolibrary.org/obo/PO_0007083	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	immature tassel		LP.13 thirteen leaves visible stage	http://purl.obolibrary.org/obo/PO_0007083	immature tassel		Yes
SRR531880	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.13 thirteen leaves visible stage	http://purl.obolibrary.org/obo/PO_0007083	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	immature tassel		LP.13 thirteen leaves visible stage	http://purl.obolibrary.org/obo/PO_0007083	immature tassel		Yes
SRR531881	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	6 days after sowing		Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	coleoptile	http://purl.obolibrary.org/obo/PO_0020033	6 days after sowing		coleoptile	http://purl.obolibrary.org/obo/PO_0020033	Yes
SRR531882	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.18 eighteen leaves visible stage	http://purl.obolibrary.org/obo/PO_0007072	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	meiotic tassel		LP.18 eighteen leaves visible stage	http://purl.obolibrary.org/obo/PO_0007072	meiotic tassel		Yes
SRR531883	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.18 eighteen leaves visible stage	http://purl.obolibrary.org/obo/PO_0007072	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	meiotic tassel		LP.18 eighteen leaves visible stage	http://purl.obolibrary.org/obo/PO_0007072	meiotic tassel		Yes
SRR531884	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.18 eighteen leaves visible stage	http://purl.obolibrary.org/obo/PO_0007072	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	meiotic tassel		LP.18 eighteen leaves visible stage	http://purl.obolibrary.org/obo/PO_0007072	meiotic tassel		Yes
SRR531886	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.18 eighteen leaves visible stage	http://purl.obolibrary.org/obo/PO_0007072	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	immature cob		LP.18 eighteen leaves visible stage	http://purl.obolibrary.org/obo/PO_0007072	immature cob		Yes
SRR531887	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.18 eighteen leaves visible stage	http://purl.obolibrary.org/obo/PO_0007072	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	immature cob		LP.18 eighteen leaves visible stage	http://purl.obolibrary.org/obo/PO_0007072	immature cob		Yes
SRR531888	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	LP.18 eighteen leaves visible stage	http://purl.obolibrary.org/obo/PO_0007072	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	immature cob		LP.18 eighteen leaves visible stage	http://purl.obolibrary.org/obo/PO_0007072	immature cob		Yes
SRR531889	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	pre-pollination cob		whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	pre-pollination cob		Yes
SRR531890	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	pre-pollination cob		whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	pre-pollination cob		Yes
SRR531891	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	pre-pollination cob		whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	pre-pollination cob		Yes
SRR531892	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	silks	http://purl.obolibrary.org/obo/PO_0006488	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	silks	http://purl.obolibrary.org/obo/PO_0006488	Yes
SRR531893	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	silks	http://purl.obolibrary.org/obo/PO_0006488	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	silks	http://purl.obolibrary.org/obo/PO_0006488	Yes
SRR531894	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	silks	http://purl.obolibrary.org/obo/PO_0006488	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	silks	http://purl.obolibrary.org/obo/PO_0006488	Yes
SRR531895	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	anthers	http://purl.obolibrary.org/obo/PO_0009066	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	anthers	http://purl.obolibrary.org/obo/PO_0009066	Yes
SRR531896	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	anthers	http://purl.obolibrary.org/obo/PO_0009066	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	anthers	http://purl.obolibrary.org/obo/PO_0009066	Yes
SRR531897	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	anthers	http://purl.obolibrary.org/obo/PO_0009066	whole plant flowering stage	http://purl.obolibrary.org/obo/PO_0007016	anthers	http://purl.obolibrary.org/obo/PO_0009066	Yes
SRR531898	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	2 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	2 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531899	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	2 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	2 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531900	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	2 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	2 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531901	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	4 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	4 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531902	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	4 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	4 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531903	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	4 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	4 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531904	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	6 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	6 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531905	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	6 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	6 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531906	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	6 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	6 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531907	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	8 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	8 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531908	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	8 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	8 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531909	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	8 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	8 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531910	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531911	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531912	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
SRR531913	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	endosperm	http://purl.obolibrary.org/obo/PO_0009089	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	endosperm	http://purl.obolibrary.org/obo/PO_0009089	Yes
SRR531914	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	endosperm	http://purl.obolibrary.org/obo/PO_0009089	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	endosperm	http://purl.obolibrary.org/obo/PO_0009089	Yes
SRR531915	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	endosperm	http://purl.obolibrary.org/obo/PO_0009089	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	endosperm	http://purl.obolibrary.org/obo/PO_0009089	Yes
SRR531916	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	Yes
SRR531917	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	Yes
SRR531919	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	plant embryo	http://purl.obolibrary.org/obo/PO_0009009	Yes
SRR531920	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	pericarp	http://purl.obolibrary.org/obo/PO_0009084	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	pericarp	http://purl.obolibrary.org/obo/PO_0009084	Yes
SRR531921	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	pericarp	http://purl.obolibrary.org/obo/PO_0009084	18 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	pericarp	http://purl.obolibrary.org/obo/PO_0009084	Yes
SRR531922	B73 inbred line	http://www.ebi.ac.uk/efo/EFO_0007022	20 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	Zea mays	http://purl.obolibrary.org/obo/NCBITaxon_4577	seed	http://purl.obolibrary.org/obo/PO_0009010	20 days after pollination	http://purl.obolibrary.org/obo/PO_0009010	seed	http://purl.obolibrary.org/obo/PO_0009010	Yes
